d18o,age,1,2,3,4,6
-170.622,6649.5,0.163215591,0.103532278,0.332521315,0.258221681,0.142509135
-204.563,6739.5,0.134777715,0.084974676,0.460185706,0.237197524,0.082864378
-211.088,6941.7,0.105797101,0.1,0.320772947,0.374396135,0.099033816
-211.6275,7028.5,0.123559696,0.097695514,0.43846531,0.229345428,0.110934052
-221.021,7139.4,0.082742317,0.132650381,0.234042553,0.399001839,0.15156291
-221.7875,7248.6,0.112952621,0.114754098,0.285894433,0.274364979,0.212033868
-182.037,7383.5,0.132775316,0.089282784,0.475381585,0.217544723,0.085015592
-208.926,7737.5,0.105032084,0.146909828,0.308004053,0.287740628,0.152313408
-191.543,7837.3,0.090617196,0.117017481,0.310738494,0.253121655,0.228505173
-193.898,7837.3,0.106574506,0.094679312,0.336280341,0.239029095,0.223436747
-198.78,8050.3,0.106178977,0.134943182,0.280539773,0.327769886,0.150568182
-180.793,8116.8,0.071653268,0.196434813,0.186997553,0.361062566,0.1838518
-228.944,8184.2,0.096751412,0.14759887,0.264477401,0.354519774,0.136652542
-182.005,8246.5,0.053695324,0.154751131,0.323076923,0.333031674,0.135444947
-185.396,8246.9,0.097881828,0.116833891,0.47826087,0.220958751,0.08606466
-242.109,8937.3,0.129666012,0.281925344,0.147347741,0.299607073,0.141453831
-223.877,9127.5,0.085564173,0.158869152,0.356100409,0.280627137,0.118839129
-229.315,9229.4,0.061492178,0.205776173,0.16377858,0.440914561,0.128038508
-187.1835,9378.9,0.080235988,0.115634218,0.410619469,0.279056047,0.114454277
-195.315,9512,0.114014252,0.320665083,0.121140143,0.311163895,0.133016627
-202.343,9513.8,0.080338914,0.234993875,0.261331156,0.307778685,0.11555737
-256.705,9697.3,0.093904448,0.136864783,0.407172728,0.288049677,0.074008364
-229.192,10290.3,0.025712689,0.178870878,0.058692007,0.399105646,0.337618781
-218.607,10877.6,0.123997862,0.11758418,0.335114912,0.27151256,0.151790486
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
