SST (°C),Age (wmean),age,1,2,3,4,6
1.054076417,8695.7,8695.7,0.08882021,0.193630744,0.233270626,0.312953507,0.171324913
1.054076417,8695.7,8695.7,0.109547356,0.187904146,0.234309623,0.295930011,0.172308863
2.319192274,8820.4,8820.4,0.095866092,0.166370784,0.338067461,0.219714262,0.179981402
3.123997714,8821.7,8821.7,0.096965988,0.180292035,0.300340999,0.232578473,0.189822506
1.363780553,8936.1,8936.1,0.06512605,0.334033613,0.107142857,0.31302521,0.180672269
2.167958133,8937.3,8937.3,0.129666012,0.281925344,0.147347741,0.299607073,0.141453831
2.581784485,9126,9126,0.073888889,0.182222222,0.308333333,0.282222222,0.153333333
2.755545604,9127.5,9127.5,0.085564173,0.158869152,0.356100409,0.280627137,0.118839129
2.086701902,9229.4,9229.4,0.061492178,0.205776173,0.16377858,0.440914561,0.128038508
2.086701902,9229.4,9229.4,0.116621984,0.197497766,0.17515639,0.403485255,0.107238606
3.236117337,9378.9,9378.9,0.080235988,0.115634218,0.410619469,0.279056047,0.114454277
2.763159337,9379.7,9379.7,0.100115075,0.126869965,0.40132336,0.268987342,0.102704258
1.251944928,9512,9512,0.114014252,0.320665083,0.121140143,0.311163895,0.133016627
2.324753331,9513.8,9513.8,0.080338914,0.234993875,0.261331156,0.307778685,0.11555737
2.324753331,9513.8,9513.8,0.094788965,0.244282009,0.240745107,0.320443292,0.099740627
2.566595221,9695.6,9695.6,0.078613244,0.135710484,0.395195013,0.280848476,0.109632783
2.566595221,9695.6,9695.6,0.081662237,0.142788113,0.386083595,0.27615366,0.113312394
2.12941902,9697.3,9697.3,0.093904448,0.136864783,0.407172728,0.288049677,0.074008364
1.768986108,9896.3,9896.3,0.073405535,0.184516647,0.262334537,0.25511432,0.224628961
1.929270896,9897.2,9897.2,0.094650206,0.156378601,0.333333333,0.242798354,0.172839506
1.681586752,10088.2,10088.2,0.484375,0.1328125,0.109375,0.1171875,0.15625
1.981433704,10089.4,10089.4,0.121462778,0.176316935,0.32346539,0.210709621,0.168045276
1.981433704,10089.4,10089.4,0.3313709,0.136248949,0.26156434,0.164003364,0.106812447
1.908038638,10290.3,10290.3,0.025712689,0.178870878,0.058692007,0.399105646,0.337618781
5.383103424,10517.1,10517.1,0.032818533,0.205598456,0.032818533,0.378378378,0.3503861
6.123964927,10519.4,10519.4,0.095634096,0.188149688,0.109147609,0.308731809,0.298336798
0.157068315,10740.2,10740.2,0.082941729,0.154135338,0.236137218,0.3125,0.214285714
1.869574087,10741.1,10741.1,0.079204132,0.13698106,0.317199158,0.307059499,0.159556151
1.869574087,10741.1,10741.1,0.18865376,0.120666367,0.261593877,0.273300315,0.155785682
3.579477594,10877.6,10877.6,0.123997862,0.11758418,0.335114912,0.27151256,0.151790486
2.939992447,11031.5,11031.5,0.126829268,0.087804878,0.326829268,0.243902439,0.214634146
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
