d13c,age,1,2,3,4,6,,,
-31.07247799,8184.6,0.114075437,0.156393744,0.334130635,0.256117755,0.139282429,,,
-30.69914577,8246.5,0.053695324,0.154751131,0.323076923,0.333031674,0.135444947,,,
-30.60368348,8246.9,0.097881828,0.116833891,0.47826087,0.220958751,0.08606466,,,
-30.18704357,8496.3,0.088268336,0.110094688,0.502006099,0.231904991,0.067725887,,,
-32.36247809,8497.5,0.088572002,0.112171119,0.471279373,0.263807994,0.064169512,,,
-30.89555778,8820.4,0.095866092,0.166370784,0.338067461,0.219714262,0.179981402,,,
-29.99690232,8821.7,0.096965988,0.180292035,0.300340999,0.232578473,0.189822506,,,
-30.04739631,8937.3,0.129666012,0.281925344,0.147347741,0.299607073,0.141453831,,,
-30.81941796,9126,0.073888889,0.182222222,0.308333333,0.282222222,0.153333333,,,
-30.3686893,9127.5,0.085564173,0.158869152,0.356100409,0.280627137,0.118839129,,,
-30.09134736,9229.4,0.061492178,0.205776173,0.16377858,0.440914561,0.128038508,,,
-29.90450271,9378.9,0.080235988,0.115634218,0.410619469,0.279056047,0.114454277,,,
-29.99829727,9512,0.114014252,0.320665083,0.121140143,0.311163895,0.133016627,,,
-29.31340664,9513.8,0.080338914,0.234993875,0.261331156,0.307778685,0.11555737,,,
-30.07011693,9697.3,0.093904448,0.136864783,0.407172728,0.288049677,0.074008364,,,
-30.51864745,9896.3,0.073405535,0.184516647,0.262334537,0.25511432,0.224628961,,,
-30.73099663,10088.2,0.484375,0.1328125,0.109375,0.1171875,0.15625,,,
-30.76494222,10089.4,0.121462778,0.176316935,0.32346539,0.210709621,0.168045276,,,
-30.46579346,10290.3,0.025712689,0.178870878,0.058692007,0.399105646,0.337618781,,,
-29.38401295,10519.4,0.095634096,0.188149688,0.109147609,0.308731809,0.298336798,,,
-30.99004828,10740.2,0.082941729,0.154135338,0.236137218,0.3125,0.214285714,,,
-31.91361746,10741.1,0.079204132,0.13698106,0.317199158,0.307059499,0.159556151,,,
-28.76085341,10877.6,0.123997862,0.11758418,0.335114912,0.27151256,0.151790486,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
